Question;Answer;Description
交通;こうつう;lalu lintas
普通;ふつう;biasa
通る;とおる;lewat
通り;とおり;jalan raya
通う;かよう;pulang-pergi
降る;ふる;turun(hujan,salju)
降りる;おりる;turun
乗る;のる;naik
着る;きる;memakai(baju)
着く;つく;tiba, sampai
着物;きもの;kimono
動く;うごく;bergerak
動物;どうぶつ;hewan
運動;うんどう;olahraga
荷物;にもつ;barang(bagasi)
物;もの;barang
食べ物;たべもの;makanan
品物;しなもの;barang dagangan
食料品;しょくりょうひん;makanan/bahan makanan/selain makanan pokok
建てる;たてる;membangun
建物;たてもの;bangunan
２階建て;２かいだて;bangunan(rumah) 2 lantai
夜;よる;malam
今夜;こんや;malam ini
台風;たいふう;angin topan
風邪;かぜ;masuk angin
台所;だいどころ;dapur
〜台;〜だい;untuk menghitung kendaraan, barang elektronik
同じ;おなじ;sama
回る;まわる;berputar
回す;まわす;memutar
〜回;〜かい;kali(satu kali, dua kali, dsb)
今晩;こんばん;malam ini
勉強;べんきょう;belajar
進む;すすむ;maju
進める;すすめる;memajukan
集まる;あつまる;berkumpul
集める;あつめる;mengumpulkan
作る;つくる;membuat
作文;さくぶん;karangan
文章;ぶんしょう;kalimat
例文;れいぶん;contoh kalimat
使う;つかう;menggunakan
大使館;たいしかん;kedutaan besar
便利;べんり;praktis
郵便局;ゆうびんきょく;kantor pos
低い;ひくい;rendah
短い;みじかい;pendek
近い;ちかい;dekat
近所;きんじょ;tetangga
最近;さいきん;akhir-akhir ini
遠い;とおい;jauh
遠足;えんそく;piknik
遠慮;えんりょ;sungkan(merasa tidak enak)
弱い;よわい;lemah
強い;つよい;kuat
暗い;くらい;gelap
明るい;あかるい;terang
説明;せつめい;penjelasan
明けましておめでとう;明けましておめでとう;selamat tahun baru
明日;あした;besok
悪い;わるい;buruk
利用;りよう;penggunaan,pemanfaatan
旅行;りょこう;traveling(bepergian)
旅館;りょかん;penginapan tradisional Jepang
美術館;びじゅつかん;museum seni
有名;ゆうめい;terkenal
去年;きょねん;tahun lalu
写す;うつす;mencopy,menyalin
写真;しゃしん;foto
真ん中;まんなか;ditengah-tengah
夕方;ゆうがた;sore
夕食;ゆうしょく;makan malam
あの方;あのかた;beliau
〜方;〜かた;cara
両方;りょうほう;keduanya
ご飯;ごはん;nasi
朝ご飯;あさごはん;sarapan
昼ご飯;ひるごはん;makan siang
晩ご飯;ばんごはん;makan malam
主人;しゅじん;suami
医者;いしゃ;dokter
医学;いがく;ilmu kedokteran
学者;がくしゃ;ilmuwan
歯医者;はいしゃ;dokter gigi
店員;てんいん;pegawai toko
駅員;えきいん;pegawai stasiun
会社員;かいしゃいん;pegawai kantor
銀行員;ぎんこういん;pegawai bank
国民;こくみん;masyarakat
市民;しみん;warga kota
運転;うんてん;menyetir
運転手;うんてんしゅ;supir
自転車;じてんしゃ;sepeda
歌;うた;lagu
歌う;うたう;menyanyi
歌手;かしゅ;penyanyi
小説;しょうせつ;novel
小説家;しょうせつか;penulis novel
家;いえ;rumah
家族;かぞく;keluarga
家庭;かてい;rumah tangga
今朝;けさ;pagi tadi
朝食;ちょうしょく;sarapan
昼間;ひるま;siang hari
昼食;ちゅうしょく;makan siang
春;はる;musim semi
春休み;はる休み;libur musim semi
夏;なつ;musim panas
夏休み;なつやすみ;libur musim panas
秋;あき;musim gugur
冬;ふゆ;musim dingin
冬休み;ふゆ休み;libur musim dingin
京都;きょうと;Kyoto
東京;とうきょう;Tokyo
東京都;とうきょうと;kota Tokyo
都合;つごう;kondisi(waktu)
都道府県;とどうふけん;47 prefektur di Jepang
青森県;あおもりけん;Aomori
町;まち;kota
〜町;〜ちょう;kota
料理;りょうり;masakan
理由;りゆう;alasan
米;こめ;beras
洗う;あらう;mencuci
お手洗い;おてあらい;toilet
洗濯;せんたく;mencuci(baju)
野球;やきゅう;baseball
野菜;やさい;sayuran
お酒;おさけ;sake
牛肉;ぎゅうにく;daging sapi
鳥肉;とりにく;daging ayam
豚肉;ぶたにく;daging babi
味;あじ;rasa
趣味;しゅみ;hobi
興味;きょうみ;minat
意味;いみ;arti
映画;えいが;film
映画館;えいがかん;bioskop
漫画;まんが;komik Jepang
時計;とけい;jam(alat)
計画;けいかく;rencana,strategi
地図;ちず;peta
図書館;としょかん;perpustakaan
仕事;しごと;pekerjaan
仕方;しかた;cara
食事;しょくじ;makanan
用事;ようじ;keperluan
用意;ようい;persiapan
地理;ちり;geografi
地震;じしん;gempa bumi
地下鉄;ちかてつ;subway(kereta bawah tanah)
犬;いぬ;anjing
太い;ふとい;tebal
太る;ふとる;gemuk
区;く;kecamatan
思う;おもう;memikirkan
思い出す;おもいだす;mengingat,teringat
和室;わしつ;ruangan ala Jepang
和菓子;わがし;kue Jepang
平和;へいわ;perdamaian
知る;しる;tahu,kenal
知らせる;しらせる;memberi tahu
水族館;すいぞくかん;akuarium
青い;あおい;biru
光る;ひかる;bersinar
光;ひかり;sinar,cahaya
池;いけ;kolam
電池;でんち;baterai
別;べつ;lainnya
特別;とくべつ;spesial,khusus
別れる;わかれる;berpisah
寒い;さむい;dingin
暑い;あつい;panas
蒸し暑い;むしあつい;panas & lembab
重い;おもい;berat
軽い;かるい;ringan
広い;ひろい;luas
元気;げんき;sehat
病院;びょういん;rumah sakit
病気;びょうき;sakit
起きる;おきる;bangun
起こす;おこす;membangunkan
寝る;ねる;tidur
寝坊;ねぼう;kesiangan
始まる;はじまる;mulai
始める;はじめる;memulai
終わる;おわる;selesai
