Question;Answer;Description
お葬式「おそうしき」;upacara pemakaman/funeral;
地味「じみ」;polos/plan;untuk baju
披露宴「ひろうえん」;resepsi/reception;resepsi pernikahan
花嫁「はなよめ」;pengantin/bride;pengantin perempuan
染み「しみ」;noda/stain;noda di celana
抜き「ぬき」;tanpa/without/penghapusan/removal;bisa berarti tanpa/penghapusan
代込み「だいこみ」;sudah termasuk biaya/fee included;
語学学校「ごがくがっこう」;sekolah bahasa/language school;
流暢「りゅうちょう」;fasih/fluent;
そもそも;pertama-tama/in the first place;
理解「りかい」;memahami/understanding;
憧れる「あこがれる」;mengagumi/admire;
初海外「はつかいがい」;pertama kali di luar negeri/first overseas;
