Question;Answer;Description
服装;ふくそう;pakaian (2010-7)
価格;かかく;harga (2010-7, 2020-12)
会費;かいひ;biaya keanggotaan (2010-7)
家賃;やちん;biaya sewa (2010-7, 2015-7)
貯める;ためる;mengumpulkan (2010-7)
仕舞う;しまう;menyimpan (2010-7)
畳む;たたむ;melipat (2010-7, 2018-7)
若者;わかもの;anak muda (2010-7)
最大;さいだい;maksimum (2010-7)
最新;さいしん;terbaru (2010-7)
最中;さいちゅう;during (2010-7)
最多;さいた;paling (2010-7)
紐;ひも;tali (2010-7)
縛る;しばる;mengikat (2010-7, 2015-12)
囲み;かこみ;dikelilingi (2010-7, 2016-12, 2020-12)
編む;あむ;merajut (2010-7, 2015-12)
沿い;ぞい;along,bersama (2010-7)
向き;むき;untuk/menghadap(posisi, misal utara,selatan) (2010-7)
込み;こみ;included, termasuk (2010-7)
歓迎;かんげい;penyambutan (2010-7, 2018-12)
応援;おうえん;mendukung/suport (2010-7, 2012-7, 2013-12)
期待;きたい;harapan,ekspektasi (2010-7, 2012-7, 2012-12, 2013-12, 2017-12, 2018-7, 2018-12)
感動;かんどう;terkesan (2010-7, 2023-12)
ぴったり;ぴったり;pas (2010-7, 2015-12, 2017-12, 2020-12, 2023-7)
ぐっすり;ぐっすり;nyenyak (2010-7, 2011-12, 2016-7, 2016-12, 2017-7, 2018-7, 2018-12)
うっかり;うっかり;tidak sengaja (2010-7, 2011-12, 2012-12, 2015-12, 2016-7, 2017-12, 2018-12, 2021-12, 2023-7)
がっかり;がっかり;kecewa (2010-7, 2012-12, 2015-7, 2016-12)
一生懸命;いっしょうけんめい;sekuat tenaga (2010-7, 2013-12, 2016-12, 2022-7)
立派;りっぱ;bagus (2010-7, 2015-12, 2017-7)
盛ん;さかん;populer (2010-7, 2015-12, 2016-7, 2016-12, 2018-7)
新鮮;しんせん;segar (2010-7, 2015-7, 2018-7, 2019-12)
くたびる;くたびる;lelah,capek (2010-7, 2014-12, 2015-7)
混雑;こんざつ;penuh sesak (2010-7)
単純;たんじゅん;sederhana (2010-7, 2017-7)
落ち着く;おちつく;tenang (2010-7, 2017-12, 2019-12)
行動;こうどう;tindakan (2010-7, 2015-12, 2023-7)
小麦粉;こむぎこ;tepung (2010-7)
電卓;でんたく;kalkulator (2010-7)
自己紹介;じこしょうかい;perkenalan (2010-7, 2016-7)
環境;かんきょう;lingkungan (2010-7, 2014-7, 2014-12, 2018-12)
そっくり;そっくり;persis seperti (2010-7, 2015-7, 2018-7, 2020-12)
祖母;そぼ;nenek (2010-7)
誕生日;たんじょうび;ulang tahun (2010-7, 2021-7)
我慢;がまん;sabar (2011-7, 2014-7, 2020-12)
街;がい;sekitar (2011-7)
ぐらぐら;ぐらぐら;goyang-goyang (2011-7, 2019-7)
がらがら;がらがら;kosong/sepi (2011-7)
ばらばら;ばらばら;pisah-pisah,berserakan (2011-7, 2014-7, 2021-7, 2012-12)
ぶらぶら;ぶらぶら;berkeliaran (2011-7)
証明書;しょうめいしょ;sertifikat (2011-7)
領収書;りょうしゅうしょ;struk (2011-7)
氏名;しめい;fullname (2011-7)
希望日;きぼうび;preferred date (2011-7)
申込書;もうしこみしょ;formulir pendaftaran (2011-7)
参考書;さんこうしょ;buku referensi (2011-7)
計算;けいさん;perhitungan/penjumlahan (2011-7, 2015-7)
意外;いがい;tidak terduga (2011-7, 2018-7)
重大;じゅうだい;serius (2011-7, 2018-12)
複雑;ふくざつ;kompleks (2011-7)
沈む;しずむ;tenggelam (2011-7, 2016-12)
溢れる;こぼれる;tumpah,meluap (2011-7, 2018-7)
流れる;ながれる;mengalir (2011-7)
浮く;うく;mengapung (2011-7, 2018-7)
産;さん;terbuat dari alam (2011-7)
製;せい;dibuat dari manusia (2011-7)
主張;しゅちょう;argumen/klaim (2011-7, 2016-12)
準備;じゅんび;persiapan (2011-7, 2011-12)
選択;せんたく;memilih (2011-7, 2020-12)
整理;せいり;merapikan (2011-7, 2012-7, 2023-12)
からから;からから;kering (2011-7, 2014-12, 2022-7)
ふらふら;ふらふら;pusing,lemah(kurang tidur),tidak stabil,tidak fokus (2011-7, 2013-7, 2014-12, 2015-12, 2020-12, 2021-7)
将来;しょうらい;masa depan (2011-7, 2013-7, 2021-12)
載せる;のせる;upload (2011-7, 2012-7, 2023-12)
散歩;さんぽ;jalan-jalan (2011-7)
恐ろしい;おそろしい;terrible/horrible (2011-7)
