Question;Answer;Description
箇所;かしょ;lokasi
少数;しょうすう;beberapa (tidak banyak, tidak sedikit)
お構い;おかまい;please take care
伺い;うかがい;mengunjungi
有料;ゆうりょう;ongkos,tarif
来日;らいにち;arrival date
科目;かもく;subject (matkul)
感想;かんそう;kesan
国際交流会;こくさいこうりゅうかい;pertemuan pertukaran internasional
面倒を見て;めんどうをみて;menjaga
感謝して;かんしゃして;gratefully
基づいて;もとづいて;based on
科目名;かもくめい;subjek
比較;ひかく;perbandingan
中心;ちゅうしん;terutama/fokus
流行;りゅうこう;trend,kecenderungan
ご希望の方;ごきぼうのかた;yang diinginkan
苦労;くろう;kesulitan/kerja keras/susah payah
帰国後;きこくご;setelah kembali ke negara asal
最新型;さいしんがた;model terbaru
重要;じゅうよう;penting
後半;こうはん;setengah akhir
うがい;うがい;berkumur
特徴;とくちょう;ciri-ciri
新入声;しんにゅうごえ;suara baru
新商品;しんしょうひん;produk baru
部品;ぶひん;parts
不足;ふそく;kekurangan
予想;よそう;prediksi
与える;あたえる;memberi
直前;ちょくぜん;sesaat sebelum
貸約束;かしやくそく;janji pinjam
参考;さんこう;referensi
外出中;がいしゅつちゅう;sedang keluar/tidak di tempat
更新料;こうしんりょう;biaya pembaharuan
液体;えきたい;liquid,cairan
宣伝;せんでん;iklan
予想外;よそうがい;unexpected,tidak terduga
慌てる;あわてる;panik
担任の先生;たんにんのせんせい;wali kelas
チラシ;チラシ;pamflet
休まず;やすまず;tidak ada istirahat
〜向けに;むけに;untuk~ (misal 海外向けに)
班書き;はんかき;list kelompok
以前;いぜん;sebelumnya (misal sebelumya saya bla bla bla)
語り合った;かたりあった;we talked
ファスナー;ファスナー;retsleting
同様;どうよう;serupa
原稿;げんこう;naskah
指導係;しどうがかり;instructor
回収;かいしゅう;mengumpulkan
申請;しんせい;daftar
可能性;かのうせい;possibilities
予想以上;よそういじょう;melebih ekspektasi
指導者;しどうしゃ;leader
