Question;Answer;Description
研究者/けんきゅうしゃ;peneliti;
手帳/てちょう;buku catatan;
名刺/めいし;kartu nama;
シャーペン;pensil mekanik;
ロビー;lobi;
地下/ちか;basement;
パンチ;memukul;
ホッチキス;stapler;
セロテープ;selotip;
寮/りょう;asrama;
棚/たな;rak;
乗り場;のりば;tempat naik kendaraan;(taxi, halte)
電卓/でんたく;kalkulator;
経済/けいざい;ekonomi;
釣り;つり;mancing;
登録/とおろく;registrasi;
時刻表/じこくひょう;tabel waktu;(jadwal bus)
独身/どくしん;single;
脱ぎます/ぬぎます;melepas baju;
出張します/しゅっちょうします;perjalanan bisnis;
禁煙/きんえん;dilarang merokok;
保険証/ほけんしょう;kartu asuransi;
調子がいい/ちょうしがいい;feeling good;
要ります/いります;butuh/perlu;
修理します/しゅうりします;memperbaiki;
勝ちます/かちます;menang;
首相/しゅしょう;perdana menteri;
大統領/だいとうりょう;presiden;
政治/せいじ;politik;
ラッシュ;rush hour;
電気屋/でんきや;teknisi listrik;
つまみ;knob;
故障/こうしょう;breakdown/perincian;
億/おく;seratus juta;
申し込みます/もうしこみます;apply;
随分/ずいぶん;sangat/sungguh;
直接/ちょくせつ;secara langsung;
燃えます/もえます;membakar(sampah);
置き場/おきば;tempat menaruh/tempat menyimpan;
瓶/びん;botol;
缶/かん;kaleng;
お湯/おゆ;air panas;
電子メール/でんしメール;e-mail;
宇宙/うちゅう;angkasa/semesta;
宇宙船/うちゅうせん;pesawat ruang angkasa;
宇宙飛行士/うちゅうひこうし;astronaut;
飼います/かいます;membesarkan/merawat;(hewan)
通信販売/つうしんはんばい;pesanan melalui pos;
はっきり;secara jelas;
日曜大工/にちようだいく;lakukan sendiri;
主人公/しゅじんこう;hero/karakter utama;
不思議/ふしぎ;takjub/penasaran;
付けます/つけます;menempelkan/memasang/melekatkan/memberi;(shoyu)
管理人/かんりにん;petugas kebersihan;
お知らせ/おしらせ;informasi;
破れます/やぶれます;sobek;
外れます/はずれます;melepas;(kancing)
網棚/あみだな;rak jaring;(di kereta)
指します/さします;poin/mengacu pada;
貼ります/はります;menempelkan;(perangko)
纏めます/まとめます;menyimpulkan;
講義/こうぎ;lecture;
案内書/あんないしょ;buku panduan;
元の所/もとのところ;tempat asal;
隅/すみ;sudut;
予定表/よていひょう;jadwal;
希望/きぼう;harapan/permintaan;
地球/ちきゅう;bumi/tanah;
目が覚めます/めがさめます;bangun;
出席します/しゅっせきします;datang meeting;
連休/れんきゅう;hari libur berturut turut;
葬式/そうしき;pemakaman;
本社/ほんしゃ;kantor pusat;
支店/してん;kantor cabang;
教会/きょうかい;gereja;
都会/とかい;kota besar;
気がします/きがします;merasa;
成功します/せいこうします;berhasil;
冷やします/ひやします;suhu turun;
火傷/やけど;membakar;
咳/せき;batuk;
騒ぎます/さわぎます;membuat gaduh;
投げます/なげます;melempar;
外します/はずします;be away from desk;
規則/きそく;regulasi/aturan;
使用禁止/しようきんし;tidak boleh digunakan;
立入禁止/たちいりきんし;jangan masuk;
非常口/ひじょうぐち;pintu darurat;
本日休業/ほんじつきゅうぎょう;tutup hari ini;
営業中/えいぎょうちゅう;buka untuk penjualan;
使用中/しようちゅう;sedang digunakan;
駐車違反/ちゅうしゃいはん;pelanggaran parkir;
罰金/ばっきん;denda;
急用/きゅうよう;urusan mendadak;
打ちます/うちます;mengirim/mengetik;(telegram)(keyboard)
電報代/でんぽうだい;biaya telegram;
出来るだけ/できるだけ;sebisa mungkin;
危篤/きとく;kondisi kritis;
重い病気/おもいびょうき;penyakit berat;
留守/るす;absen;(tidak hadir)
留守番/るすばん;house-watching;
組みてます/くみてます;merakit;
折ます/おります;melipat;
気がつきます/きがつきます;notice/aware;
説明書/せつめいしょ;buku instruksi/pamflet;(penjelasan)
線/せん;baris/garis;
矢印/やじるし;arah panah;
紺/こん;biru navy/biru gelap;
載せます/のせます;publish/load;(article)(barang)
材料/ざいりょう;bahan-bahan;
調味料/ちょう魅了;bumbu;
煮ます/にます;mendidihkan;
許可/きょか;permissions;
操作/そうさ;operation;
方法/ほうほう;metode;
設備/せつび;fasilitas/perlengkapan;
紐/ひも;benang;
蓋/ふた;tutup;(panci)
葉/は;daun;
夜行バス/やこうバス;bis malam;
詳しい/くわしい;detail/spesifik;
朱/しゅ;merah terang;
交わる/まじわる;silang;(garis)
諺/ことわざ;pepatah;
痩せます/やせます;get slim/menjadi kurus;
電子/でんし;elektronik;
健康/けんこう;kesehatan;
可也/かなり;secara adil;
世紀/せいき;abad;
汽車/きしゃ;lokomotif;
汽船/きせん;kapal uap;
大勢の/おおぜいの;kerumunan;
踏みます/ふみます;menginjak;(kaki)
輸出/ゆしゅつ;ekspor;
輸出/ゆにゅう;impor;
発明します/はつめいします;menciptakan;
発見します/はっけんします;menemukan;(discovery)
設計すします/せっけいすします;mendesain;
麦/むぎ;gandum;
石油/せきゆ;minyak bumi;
油/あぶら;minyak;
原料/げんりょう;bahan mentah;
建築家/けんちくか;arsitek;
科学者/かがくしゃ;ilmuwan;
によって;dari;
埋め立てます/うめたてます;re-claim;
土地/とち;land;
騒音/そうおん;noise;
豪華/ごうか;mewah;
彫刻/ちょうこく;patung(romawi);
彫ります/ほります;mengukir;
電源/でんげん;power supply;
製/せい;made in~;
