Question;Answer;Description
停車;ていしゃ;kereta berhenti
バス停;バスてい;tempat perhentian bus
整理;せいり;menata/mengatur
整理券;せいりけん;tiket untuk mengatur antrian
駐車券;ちゅうしゃけん;tiket parkir
乗車券;じょうしゃけん;tiket naik(kereta)
回数券;かいすうけん;tiket terusan
現れる;あらわれる;muncul
現金;げんきん;uang cash
表現;ひょうげん;ekspresi/ungkapan
両親;りょうしん;kedua orang tua
〜両;〜りょう/りょう;gerbong
両替;りょうがえ;tukar uang
取り替える;とりかえる;menukar
着替える;きがえる;ganti baju
優しい;やさしい;lembut,baik
優先席;ゆうせんせき;kursi prioritas
女優;じょゆう;aktris
俳優;はいゆう;actor
座る;すわる;duduk
座席;ざせき;tempat duduk
正座;せいざ;duduk dilantai ala jepang
降りる;おりる;turun
降る;ふる;turun
降車口;こうしゃぐち;pintu turun
以降;いこう;selanjutnya/setelah
