Question;Answer;Description
キッチン/台所「だいどころ」;dapur;
冷蔵庫「れいぞうこ」;kulkas/lemari es;
電子レンジ「でんしレンジ」;microwave;
ガスレンジ/ガスコンロ;kompor;
湯呑み「ゆのみ」/茶碗「ちゃわん」;gelas air/teh;
茶碗「ちゃわん」;mangkuk kecil;
ワイングラス;gelas wine;
コーヒーカップ;gelas kopi;
ガラスのコップ;gelas kaca;
レバー;tuas(putaran) keran;
流し「ながし」;sink (bak wastafel);
居間「いま」/リビング;living room;
窓ガラス「まどガラス」;kaca jendela;
雨戸「あまど」;pintu penghalang air hujan;
網戸「あみど」;pintu penghalang serangga;
床「ゆか」;lantai;
天井「てんじょう」;atap;
エアコン;air conditioner;
ヒーター;penghangat;
コンセント;colokan;
絨毯「じゅうたん」/カーペット;karpet;
コード;kabel;
水道「すいどう」の 蛇口「じゃぐち」を 捻る「ひねる」;memutar air keran;
水「みず」が 凍る「こおる」;airnya membeku;
氷「こおり」になる;menjadi;
冷凍「れいとう」して 保存「ほおん」する;menyimpan dengan membekukannya;
ビールを冷やす「ひやす」;mendinginkan bir;
ビールが冷えている「ひえている」;bir nya dingin;
エアコンのリモコン;remote AC;
スイッチ;tombol sakelar;
電源「でんげん」を 入れる「いれる」;menyalakan;menyalakan sumber listrik/power
電源「でんげん」を 切る「きる」;mematikan;mematikan sumber listrik/power
絨毯「じゅうたん」を 敷く「しく」;menggelar karpet;
部屋「へや」を 暖める「あたためる」;menghangatkan ruangan;
暖房「だんぼう」をつける;menyalakan penghangat;
冷房「れいぼう」/クーラー が効いている「きいている」;dinginnya terasa;bisa juga untuk rasa (misal bawang)
日「ひ」当たり「あたり」が いい;terkena sinar matahari;
日「ひ」当たり「あたり」が 悪い「わるい」;tidak terkena sinar matahari;
