Question;Answer;Description
ひく( 引く);menarik;かぜを 引く masuk angin, 辞書を 引く mencari di kamus
ひく ( 弾く);bermain;ギター／ピアノを ひく main gitar/piano
おす (押す);mendorong
ふく ( 吹く);bertiup;風が ふく
ふく ( 拭く);mengelap;手を ふく mengelap tangan
はく ( 掃く);menyapu;にわを はく menyapu halaman
はく ( 吐く);muntah;気分が 悪くて はく muntah karena merasa tidak enak
はく;memakai;(くつ／くつ下／スカートなどを) はく
すく ( 空く);kosong;おなかが 空く lapar (店／電車などが) 空くkereta, toko nya kosong
こむ (混む／込む); padatl
つく ( 着く);tiba/sampai;駅に着く tiba di stasiun
きもち (気持ち);perasaan;(apa yang dirasakan tubuh, hati)
うれしい;senang;
かなしい (悲しい);sedih;
さびしい (寂しい);kesepian;
つまらない;merasa bosan;
おもしろい;menarik;acara/film/etc
ざんねん (残念) な;sangat disayangkan;
いや な;tidak mau;
がっかりする;kecewa;
しんぱい (心配) する;khawatir;
あんしん (安心) する;tenang;
びっくりする;kaget;(bisa diucapkan ketika merasa kaget)
おどろく ( 驚く);kaget;
きぶん (気分);perasaan;(menjelaskan kondisi tubuh, hati)
びょうき (病気) になる／をする;sakit;
けがを する;terluka;
だいじょうぶ (大丈夫) な;tidak apa-apa;
むり (無理) な;tidak mungkin/tidak bisa;
むりを する;memaksakan;
やめる;berhenti;
きがえる (着がえる);mengganti;(baju, kaos dll)
はきかえる;mengganti;(celana, sepatu dll)
いれかえる (入れ替える);mengganti;(udara dll)
つれていく (連れて行く);mengajak;
もっていく (持って行く);membawa;membawa pergi
むかえにいく (迎えに行く);menjemput;(pergi jemput)
おくりに いく(送りに 行く);mengantar;(pergi mengantar)
(お)べんとう (弁当);bento/bekal;
めが さめる (目が 覚める);terbangun;
シャワーを あびる (浴びる);mandi;
みがく ( 磨く);menggosok;くつを みがく menggosok sepatu, はを みがく menggosok gigi
やる;melakukan/memberi;しゅくだいを やる mengerjakan PR, ネコに えさを やる memberi makan kucing, 花に 水を やる menyiram bunga
おこす (起こす);membangunkan;こどもを 起こす membangunkan anak
かたづける (片付ける);merapikan;部屋を かたづける merapikan kamar
せんたくする (洗濯する);mencuci;
アイロンを かける;menyetrika;ふくにアイロンをかける menyeterika baju
でかける (出かける);keluar bepergian;
かぎを かける;mengunci;
したく (支度);persiapan;出かける したくを する siap-siap keluar
すてる (捨てる);membuang;ゴミをすてる membuang sampah
ひろう（拾う）;memungut;
はじめは (初めは);awalnya;
はじめて (初めて);pertama kali;
はじめに (始めに)･･･つぎに;pertama-tama;
おもう (思う);berpikir;merasakan いいと思いう saya rasa bagus
かんがえる (考える);berpikir;mempertimbangkan よく考えまて･･･ pikirkan baik-baik
おぼえる (覚える);menghafal/ingat;ことばを おぼえる menghafalkan kosakata
おもいだす (思い出す);teringat/mengingat; 国を 思い出す teringat negara (asal)
まわる (･･･が 回る);berputar; ◯を まわす (回す) memutar...
まがる (･･･が 曲がる);belok; ◯を まげる (曲げる) membelokkan... つぎのかどを 右にまがってください。belok kanan di belokan berikutnya
すわる (座る);duduk;
さわる (触る);menyentuh;
なる;menjadi;
ならう (習う);belajar;dari orang lain
ならぶ (･･･ が並ぶ);berjajar/ngantri;を ならべる (並べる) menjajarkan...
なれる (･･･ に慣れる);terbiasa;日本の生活に なれる terbiasa dengan kehidupan di Jepang
