Question;Answer;Description
住む;すむ;tinggal
住民;じゅうみん;penduduk
所;ところ;tempat
住所;じゅうしょ;alamat
台所;だいどころ;dapur
場所;ばしょ;tempat
東京;とうきょう;Tokyo
東京都;とうきょうと;kota Tokyo
都合;つごう;kondisi(waktu)
首都;しゅと;ibu kota
京都府;きょうとふ;prefektur Kyoto
大阪府;おおさかふ;prefektur Osaka
政府;せいふ;pemerintah
山口県;やまぐちけん;prefektur Yamaguchi
県知事;けんちじ;bupati
京都市;きょうとし;kota Kyoto
市長;しちょう;wali kota
市場;いちば;pasar
北区;きたく;Kita ward
文京区;ぶんきょうく;Bunkyo ward
区長;くちょう;Lurah
町;まち;kota
下町;したまち;pusat kota(kelas menengah kebawah)
町長;ちょうちょう;lurah
村;むら;desa
村人;むらびと;orang desa
村長;むらちょう;kepala desa
明るい;あかるい;terang
明日;あした/あす;besok
説明;せつめい;penjelasan
発明;はつめい;penemuan
暗い;くらい;gelap
暗号;あんごう;kriptografi,kode rahasia
遠い;とおい;jauh
遠足;えんそく;piknik
近い;ちかい;dekat
近所;きんじょ;tetangga
最近;さいきん;akhir-akhir ini
強い;つよい;kuat
勉強;べんきょう;belajar
強風;きょうふう;angin kuat
弱い;よわい;lemah
強弱;きょうじゃく;kekuatan
重い;おもい;berat
重大な;じゅうだいな;serius
体重;たいじゅう;berat badan
軽い;かるい;ringan
軽食;けいしょく;makanan ringan
太い;ふとい;tebal
太陽;たいよう;matahari(planet)
細い;ほそい;tipis,kurus
細かい;こまかい;terperinci
細工;さいく;keahlian
