Question;Answer;Description
山;やま;gunung
富士山;ふじさん;gunung fuji
登山;とざん;mendaki gunung
川;かわ;sungai
山川さん;やまかわさん;yamakawa-san
インダス川;インダスかわ;sungai Indus
田;た;sawah
田んぼ;たんぼ;sawah
水田;すいでん;sawah
油田;ゆでん;ladang minyak
日;ひ;hari,matahari
日曜日;にちようび;minggu
日本;にほん;Jepang
休日;きゅうじつ;hari libur
月;つき;bulan
月曜日;げつようび;senin
1月;いちがつ;Januari
今月;こんげつ;bulan ini
火;ひ;api
火曜日;かようび;selasa
火山;ひざん;gunung berapi
火事;かじ;kebakaran
水;みず;air
水曜日;すいようび;rabu
水道;すいどう;persediaan air
木;き;pohon
木曜日;もくようび;kamis
お金;おかね;uang
金;きん;emas
金曜日;きにょうび;jumat
土;つち;tanah,bumi
土曜日;どようび;sabtu
土地;とち;tanah,daratan
一つ;ひとつ;satu(jumlah)
一日;ついたち,いちにち;hari pertama di suatu bulan,1 hari
二つ;ふたつ;dua(jumlah)
二月;にがつ;Februari
二日;ふつか;hari kedua di suatu bulan
二人;ふたり;dua orang
