Question;Answer;Description
浴びる;あびる;Mandi
危ない;あぶない;Bahaya
上げる;あげる;Meningkatan
赤;あか;Merah
赤い;あかい;Merah
明るい;あかるい;Terang
開ける;あける;Membuka
秋;あき;Musim Gugur
開く;あく;Terbuka(transitif/intransitif)
甘い;あまい;Manis
飴;あめ;Permen
雨;あめ;Hujan
姉;あね;Kakak Perempuan (saya)
兄;あに;Kakak Laki-laki (saya)
青;あお;Biru
青い;あおい;Biru
洗う;あらう;Mencuci
歩く;あるく;Berjalan Kaki
朝;あさ;Pagi
朝ご飯;あさごはん;Sarapan
明後日;あさって;Lusa
足;あし;Kaki
明日;あした;Besok
遊ぶ;あそぶ;Bermain
頭;あたま;Kepala
新しい;あたらしい;Baru
暖かい;あたたかい;Hangat
後;あと;Nanti
厚い;あつい;Tipis
暑い;あつい;Panas
熱い;あつい;Panas
会う;あう;Bertemu
晩ご飯;ばんごはん;Makan Malam
番号;ばんごう;Nomor
勉強;べんきょう;Belajar
便利;べんり;Praktis
帽子;ぼうし;Topi
文章;ぶんしょう;Kalimat
豚肉;ぶたにく;Daging Babi
病院;びょういん;Rumah Sakit
病気;びょうき;Penyakit
茶色;ちゃいろ;Coklat
茶碗;ちゃわん;Mangkok
父;ちち;Ayah
違う;ちがう;Salah/Berbeda
小さい;ちいさい;Kecil
小さな;ちいさな;Kecil
近い;ちかい;Dekat
地下鉄;ちかてつ;Kereta Bawah Tanah
地図;ちず;Peta
丁度;ちょうど;Tepat Sekali/Pas
台所;だいどころ;Dapur
大学;だいがく;Universitas
大丈夫;だいじょぶ;Baik-baik Saja
大好き;だいすき;Sangat Suka
誰;だれ;Siapa
誰か;だれか;Siapa pun/Seseorang
出す;だす;Mengeluarkan
出口;でぐち;Pintu Keluar
出かける;でかける;Pergi Keluar (Dari Rumah/Suatu Tempat)
電気;でんき;Listrik
電車;でんしゃ;Kereta
電話;でんわ;Telepon
出る;でる;Keluar
動物;どうぶつ;Binatang
土曜日;どようび;Sabtu
絵;え;Gambar
映画;えいが;Film
映画館;えいがかん;Bioskop
英語;えいご;Bahasa Inggris
駅;えき;Stasiun
鉛筆;えんぴつ;Pensil
吹く;ふく;Bertiup
服;ふく;Pakaian
降る;ふる;Turun/Jatuh(Hujan/Salju)
古い;ふるい;Tua(Benda)
二人;ふたり;2 Orang
二つ;ふたつ;2 Buah
太い;ふとい;Gendut
二日;ふつか;Hari Kedua/2 Hari
封筒;ふうとう;Amplop
冬;ふゆ;Musim Dingin
外国;がいこく;Luar Negeri (Negara)
外国人;がいこくじん;Orang Luar Negeri
学校;がっこう;Sekolah
学生;がくせい;Murid SMA atau Universitas
玄関;げんかん;Bagian Setelah Pintu Masuk
元気;げんき;Sehat
月曜日;げつようび;Senin
銀行;ぎんこう;Bank
五;ご;Lima / 5
午後;ごご;Siang
ご飯;ごはん;Makanan/Nasi
午前;ごぜん;Pagi
牛肉;ぎゅうにく;Daging Sapi
牛乳;ぎゅうにゅう;Susu Sapi
歯;は;Gigi
八;はち;Delapan / 8
葉書;はがき;Kartu Pos
母;はは;Ibu
入る;はいる;Masuk
灰皿;はいざら;Asbak
始まる;はじまる;Mulai
初めて;はじめて;Pertama Kali
箱;はこ;Kotak
履く;はく;Mengenakan (Celana)
半;はん;Setengah
花;はな;Bunga
鼻;はな;Hidung
話;はなし;Pembicaraan
話す;はなす;Berbicara
半分;はんぶん;Setengah
晴れ;はれ;Cerah
晴れる;はれる;Jadi Cerah
貼る;はる;Menempelkan
春;はる;Musim Semi
箸;はし;Sumpit
橋;はし;Jembatan
走る;はしる;Berlari
二十歳;はたち;20 Tahun (Umur)
働く;はたらく;Bekerja
二十日;はつか;Hari ke 20 / 20 Hari
早い;はやい;Cepat
速い;はやい;Cepat
辺;へん;Bagian/Area
下手;へた;Tidak Mahir
部屋;へや;Kamar
左;ひだり;Kiri
東;ひがし;Timur
飛行機;ひこうき;Pesawat Terbang
引く;ひく;Menarik
弾く;ひく;Bermain(Gitar/Piano/Strings)
低い;ひくい;Rendah
暇;ひま;Waktu Luang
広い;ひろい;Luas
昼;ひる;Siang
昼ご飯;ひるごはん;Makan Siang
人;ひと;Orang
一人;ひとり;Sendirian
一つ;ひとつ;1 Buah
本;ほん;Buku
本棚;ほんだな;Rak Buku
本当;ほんとう;Sungguhan
欲しい;ほしい;Ingin
細い;ほそい;Kurus
百;ひゃく;Seratus
一;いち;Satu
一番;いちばん;Nomor Satu/Ter~
一日;いちにち;Seharian/Satu Hari
家;いえ;Rumah
池;いけ;Kolam
行く;いく;Pergi
今;いま;Sekarang
意味;いみ;Arti
妹;いもうと;Adik Perempuan (saya)
犬;いぬ;Anjing
入れる;いれる;Memasukkan
入口;いりぐち;Pintu Masuk
色;いろ;Warna
色々;いろいろ;Bermacam-macam
居る;いる;Ada(Makhluk Hidup)
要る;いる;Membutuhkan
医者;いしゃ;Dokter
忙しい;いそがしい;Sibuk
一緒;いっしょ;Bersama
椅子;いす;Kursi
痛い;いたい;Sakit
五日;いつか;Hari ke 5 / 5 Hari
五つ;いつつ;5 Buah
言う;いう;Mengucapkan
嫌;いや;Benci/Ga mengenakkan
字引;じびき;Kamus/Wikipedia(Kata Lama)
自分;じぶん;Diri Sendiri
自動車;じどうしゃ;Mobil Matic
時間;じかん;Waktu/Jam
辞書;じしょ;Kamus(Kata Baru)
自転車;じてんしゃ;Sepeda
丈夫;じょうぶ;Kuat/Tahan Lama
上手;じょうず;Bagus/Mahir
授業;じゅぎょう;Kelas(Pelajaran)
十;じゅう;Sepuluh
花瓶;かびん;Vas
角;かど;Sudut/Pojokan
帰る;かえる;Pulang
返す;かえす;Mengembalikan sesuatu
鍵;かぎ;Kunci
階段;かいだん;Tangga
買い物;かいもの;Belanjaan
会社;かいしゃ;Perusahaan
掛かる;かかる;Membutuhkan Beberapa (Waktu/Uang)
掛ける;かける;Menggantungkan/Mengunci
書く;かく;Menulis
紙;かみ;Kertas
漢字;かんじ;Kanji
体;からだ;Tubuh
辛い;からい;Pedas
借りる;かりる;Meminjam
軽い;かるい;Ringan
傘;かさ;Payung
貸す;かす;Meminjamkan
方;かた;Cara/Arah
家庭;かてい;Rumah Tangga
買う;かう;Membeli
川;かわ;Sungai
可愛い;かわいい;Cantik/Imut
火曜日;かようび;Selasa
風邪;かぜ;Masuk Angin
風;かぜ;Angin
家族;かぞく;Keluarga
警官;けいかん;Polisi (Satuan)
結婚;けっこん;Menikah
結構;けっこう;Cukup
今朝;けさ;Pagi ini
消す;けす;Menghapus/Mematikan
木;き;Pohon
消える;きえる;Menghilang/Mati
黄色い;きいろい;Kuning
聞く;きく;Mendengar
昨日;きのう;Kemarin
金曜日;きんようび;Jumat
切符;きっぷ;Tiket
嫌い;きらい;Benci
綺麗;きれい;Indah/Bersih
切る;きる;Memotong
着る;きる;Mengenakan(Baju)
喫茶店;きっさてん;Kafe
北;きた;Utara
汚い;きたない;Kotor/Jelek
切手;きって;Perangko
子供;こども;Anak
声;こえ;Suara
九日;ここのか;Hari Ke 9 / 9 Hari
九つ;ここのつ;9 Buah
